Code	Name	Grade	Subject	Type	Description
ADA1OI	Dramatic Arts	9	Arts	Open	"This course provides opportunities for students to explore dramatic forms and techniques, using material from a wide range of sources and cultures. Students will use the elements of drama to examine situations and issues that are relevant to their lives. Students will create, perform, discuss, and analyse drama, and then reflect on the experiences to develop an understanding of themselves, the art form, and the world around them."
AMI1OI	Instrumental Music - Band	9	Arts	Open	"This course emphasizes the creation and performance of music at a level consistent with previous experience and is aimed at developing technique, sensitivity, and imagination. Students will develop musical literacy skills by using the creative and critical analysis processes in composition, performance, and a range of reflective and analytical activities. Students will develop an understanding of the conventions and elements of music and of safe practices related to music, and will develop a variety of skills transferable to other areas of their life."
AMI1OX	Instrumental Music - Band (Beginner)	9	Arts	Open	"This course emphasizes the creation and performance of music at a level consistent with previous experience and is aimed at developing technique, sensitivity, and imagination. Students will develop musical literacy skills by using the creative and critical analysis processes in composition, performance, and a range of reflective and analytical activities. Students will develop an understanding of the conventions and elements of music and of safe practices related to music, and will develop a variety of skills transferable to other areas of their life."
AMS1OI	Instrumental Music - Strings (Full year)	9	Arts	Open	"This course emphasizes the creation and performance of music at a level consistent with previous experience and is aimed at developing technique, sensitivity, and imagination. Students will develop musical literacy skills by using the creative and critical analysis processes in composition, performance, and a range of reflective and analytical activities. Students will develop an understanding of the conventions and elements of music and of safe practices related to music, and will develop a variety of skills transferable to other areas of their life. Program to be paired with undetermined Gr 9 course."
AMS1OX	Instrumental Music - Strings (Beginner)	9	Arts	Open	"This course emphasizes the creation and performance of music at a level consistent with previous experience and is aimed at developing technique, sensitivity, and imagination. Students will develop musical literacy skills by using the creative and critical analysis processes in composition, performance, and a range of reflective and analytical activities. Students will develop an understanding of the conventions and elements of music and of safe practices related to music, and will develop a variety of skills transferable to other areas of their life."
AMV1OI	Music - Choral/Vocal	9	Arts	Open	"This course emphasizes the creation and performance of music at a level consistent with previous experience and is aimed at developing technique, sensitivity, and imagination. Students will develop musical literacy skills by using the creative and critical analysis processes in composition, performance, and a range of reflective and analytical activities. Students will develop an understanding of the conventions and elements of music and of safe practices related to music, and will develop a variety of skills transferable to other areas of their life."
AVI1OI	Visual Arts	9	Arts	Open	"This course is exploratory in nature, offering an overview of visual arts as a foundation for further study. Students will become familiar with the elements and principles of design and the expressive qualities of various materials by using a range of media, processes, techniques, and styles. Students will use the creative and critical analysis processes and will interpret art within a personal, contemporary, and historical context."
ADA2OI	Dramatic Arts	10	Arts	Open	"This course provides opportunities for students to explore dramatic forms, conventions, and techniques. Students will explore a variety of dramatic sources from various cultures and representing a range of genres. Students will use the elements of drama in creating and communicating through dramatic works. Students will assume responsibility for decisions made in the creative and collaborative processes and will reflect on their experiences."
AMI2OI	Instrumental Music - Band	10	Arts	Open	"This course emphasizes the creation and performance of music at a level consistent with previous experience. Students will develop musical literacy skills by using the creative and critical analysis processes in composition, performance, and a range of reflective and analytical activities. Students will develop their understanding of musical conventions, practices, and terminology and apply the elements of music in a range of activities. They will also explore the function of music in society with reference to the self, communities, and cultures."
AMR2OS	Music Repertoire - Strings	10	Arts	Open	"Concurrent – AMS2OI, (0.5 credit)"
AMS2OI	Instrumental Music - Strings	10	Arts	Open	"This course emphasizes the creation and performance of music at a level consistent with previous experience. Students will develop musical literacy skills by using the creative and critical analysis processes in composition, performance, and a range of reflective and analytical activities. Students will develop their understanding of musical conventions, practices, and terminology and apply the elements of music in a range of activities. They will also explore the function of music in society with reference to the self, communities, and cultures."
AMV2OI	Music - Vocal/Choral	10	Arts	Open	"This course emphasizes the creation and performance of music at a level consistent with previous experience. Students will develop musical literacy skills by using the creative and critical analysis processes in composition, performance, and a range of reflective and analytical activities. Students will develop their understanding of musical conventions, practices, and terminology and apply the elements of music in a range of activities. They will also explore the function of music in society with reference to the self, communities, and cultures."
AVI2OI	Visual Arts	10	Arts	Open	"This course enables students to develop their skills in producing and presenting art by introducing them to new ideas, materials, and processes for artistic exploration and experimentation. Students will apply the elements and principles of design when exploring the creative process. Students will use the critical analysis process to reflect on and interpret art within a personal, contemporary, and historical context."
ADA3MI	Dramatic Arts	11	Arts	University/College	"This course requires students to create and perform in dramatic presentations. Students will analyse, interpret, and perform dramatic works from various cultures and time periods. Students will research various acting styles and conventions that could be used in their presentations, and analyse the functions of playwrights, directors, actors, designers, technicians, and audiences. (Prerequisite: Drama, Grade 9 or 10, Open.)"
AMG3OI	Guitar Music	11	Arts	Open	"This course develops students’ musical literacy through performance and the preparation and presentation of music productions. Students will perform works at a level consistent with previous experience. Independently and collaboratively, students will use current technology and the creative and critical analysis processes to plan, produce, present, and market musical productions. Students will respond to, reflect on, and analyse music from various genres and periods, and they will develop skills transferable to other aspects of their life and their careers."
AMI3MI	Instrumental Music - Band	11	Arts	University/College	"This course provides students with opportunities to develop their musical literacy through the creation, appreciation, analysis, and performance of music, including traditional, commercial, and art music. Students will apply the creative process when performing appropriate technical exercises and repertoire and will employ the critical analysis processes when reflecting on, responding to, and analysing live and recorded performances. Students will consider the function of music in society and the impact of music on individuals and communities. They will explore how to apply skills developed in music to their life and careers. (Prerequisite: Music, Grade 9 or 10 Open)"
AMR3MB	Music Repertoire - Band	11	Arts	University/College	"Concurrent-AMI3MI, (0.5 credit)"
AMR3MS	Music Repertoire - Strings	11	Arts	University/College	"Concurrent-AMS3MI, (0.5 credit)"
